id_production,id_content,title_production,genre,premiere,runtime,imdb_score,language,type,title_content,director,cast,country,date_added,release_year,rating,duration,listed_in,description,id_oscar,id_inf,id_res,title_oscar,year_ceremony,category,name,winner,directed_by,based_on,starring,distributed_by,budget,budget_x_million,box_office,box_office_x_million,imdb,metascore,rotten_tomatoes
11.0,854.0,Army of the Dead,Zombie/Heist,"may 21, 2021",148.0,5.9,English,TV Show,"Vendetta: Truth, Lies and The Mafia",NA,NA,NA,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",11.0,110.0,9571.0,12 Years a Slave,2014.0,ACTOR IN A LEADING ROLE,Chiwetel Ejiofor,0.0,Steve McQueen,['Twelve Years a Slave'. 'by'. 'Solomon Northup'],"['Chiwetel Ejiofor'. 'Michael Fassbender'. ""Lupita Nyong'o"". 'Benedict Cumberbatch'. 'Paul Dano'. 'Paul Giamatti'. 'Sarah Paulson'. 'Brad Pitt'. 'Alfre Woodard']",['Fox Searchlight Pictures (North America)'. 'Entertainment One Films (United Kingdom and Ireland)'. 'Summit Entertainment (International)'],$20–22 million,20.0,$187.7 million,187.7,8.1,96.0,95.0
12.0,896.0,Oxygen,Science fiction thriller,"may 12, 2021",101.0,6.5,French,TV Show,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",NA,"September 23, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",12.0,110.0,9575.0,12 Years a Slave,2014.0,ACTOR IN A SUPPORTING ROLE,Michael Fassbender,0.0,Steve McQueen,['Twelve Years a Slave'. 'by'. 'Solomon Northup'],"['Chiwetel Ejiofor'. 'Michael Fassbender'. ""Lupita Nyong'o"". 'Benedict Cumberbatch'. 'Paul Dano'. 'Paul Giamatti'. 'Sarah Paulson'. 'Brad Pitt'. 'Alfre Woodard']",['Fox Searchlight Pictures (North America)'. 'Entertainment One Films (United Kingdom and Ireland)'. 'Summit Entertainment (International)'],$20–22 million,20.0,$187.7 million,187.7,8.1,96.0,95.0
13.0,872.0,Sardar Ka Grandson,Comedy,"may 18, 2021",139.0,4.1,Hindi,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová","Germany, Czech Republic","September 23, 2021",2021,TV-MA,127 min,"Dramas, International Movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",13.0,110.0,9585.0,12 Years a Slave,2014.0,ACTRESS IN A SUPPORTING ROLE,Lupita Nyong'o,1.0,Steve McQueen,['Twelve Years a Slave'. 'by'. 'Solomon Northup'],"['Chiwetel Ejiofor'. 'Michael Fassbender'. ""Lupita Nyong'o"". 'Benedict Cumberbatch'. 'Paul Dano'. 'Paul Giamatti'. 'Sarah Paulson'. 'Brad Pitt'. 'Alfre Woodard']",['Fox Searchlight Pictures (North America)'. 'Entertainment One Films (United Kingdom and Ireland)'. 'Summit Entertainment (International)'],$20–22 million,20.0,$187.7 million,187.7,8.1,96.0,95.0
14.0,879.0,Ferry,Crime drama,"may 14, 2021",106.0,7.1,Dutch,Movie,Confessions of an Invisible Girl,Bruno Garotti,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",NA,"September 22, 2021",2021,TV-PG,91 min,"Children & Family Movies, Comedies","When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",14.0,110.0,9603.0,12 Years a Slave,2014.0,COSTUME DESIGN,Patricia Norris,0.0,Steve McQueen,['Twelve Years a Slave'. 'by'. 'Solomon Northup'],"['Chiwetel Ejiofor'. 'Michael Fassbender'. ""Lupita Nyong'o"". 'Benedict Cumberbatch'. 'Paul Dano'. 'Paul Giamatti'. 'Sarah Paulson'. 'Brad Pitt'. 'Alfre Woodard']",['Fox Searchlight Pictures (North America)'. 'Entertainment One Films (United Kingdom and Ireland)'. 'Summit Entertainment (International)'],$20–22 million,20.0,$187.7 million,187.7,8.1,96.0,95.0
15.0,882.0,I Am All Girls,Thriller,"may 14, 2021",107.0,5.8,English,TV Show,Crime Stories: India Detectives,NA,NA,NA,"September 22, 2021",2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,15.0,110.0,9607.0,12 Years a Slave,2014.0,DIRECTING,Steve McQueen,0.0,Steve McQueen,['Twelve Years a Slave'. 'by'. 'Solomon Northup'],"['Chiwetel Ejiofor'. 'Michael Fassbender'. ""Lupita Nyong'o"". 'Benedict Cumberbatch'. 'Paul Dano'. 'Paul Giamatti'. 'Sarah Paulson'. 'Brad Pitt'. 'Alfre Woodard']",['Fox Searchlight Pictures (North America)'. 'Entertainment One Films (United Kingdom and Ireland)'. 'Summit Entertainment (International)'],$20–22 million,20.0,$187.7 million,187.7,8.1,96.0,95.0
16.0,890.0,The Woman in the Window,Psychological thriller,"may 14, 2021",100.0,5.7,English,TV Show,Dear White People,NA,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,"September 22, 2021",2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas","Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",16.0,110.0,9623.0,12 Years a Slave,2014.0,FILM EDITING,Joe Walker,0.0,Steve McQueen,['Twelve Years a Slave'. 'by'. 'Solomon Northup'],"['Chiwetel Ejiofor'. 'Michael Fassbender'. ""Lupita Nyong'o"". 'Benedict Cumberbatch'. 'Paul Dano'. 'Paul Giamatti'. 'Sarah Paulson'. 'Brad Pitt'. 'Alfre Woodard']",['Fox Searchlight Pictures (North America)'. 'Entertainment One Films (United Kingdom and Ireland)'. 'Summit Entertainment (International)'],$20–22 million,20.0,$187.7 million,187.7,8.1,96.0,95.0
17.0,910.0,Milestone,Drama,"may 7, 2021",98.0,6.6,Hindi,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",NA,NA,"September 22, 2021",2020,TV-MA,67 min,"Documentaries, International Movies","Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",17.0,110.0,9649.0,12 Years a Slave,2014.0,BEST PICTURE,Brad Pitt. Dede Gardner. Jeremy Kleiner. Steve McQueen and Anthony Katagas. Producers,1.0,Steve McQueen,['Twelve Years a Slave'. 'by'. 'Solomon Northup'],"['Chiwetel Ejiofor'. 'Michael Fassbender'. ""Lupita Nyong'o"". 'Benedict Cumberbatch'. 'Paul Dano'. 'Paul Giamatti'. 'Sarah Paulson'. 'Brad Pitt'. 'Alfre Woodard']",['Fox Searchlight Pictures (North America)'. 'Entertainment One Films (United Kingdom and Ireland)'. 'Summit Entertainment (International)'],$20–22 million,20.0,$187.7 million,187.7,8.1,96.0,95.0
18.0,911.0,Monster,Drama,"may 7, 2021",98.0,6.5,English,TV Show,Falsa identidad,NA,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",Mexico,"September 22, 2021",2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,18.0,110.0,9656.0,12 Years a Slave,2014.0,PRODUCTION DESIGN,Production Design: Adam Stockhausen. Set Decoration: Alice Baker,0.0,Steve McQueen,['Twelve Years a Slave'. 'by'. 'Solomon Northup'],"['Chiwetel Ejiofor'. 'Michael Fassbender'. ""Lupita Nyong'o"". 'Benedict Cumberbatch'. 'Paul Dano'. 'Paul Giamatti'. 'Sarah Paulson'. 'Brad Pitt'. 'Alfre Woodard']",['Fox Searchlight Pictures (North America)'. 'Entertainment One Films (United Kingdom and Ireland)'. 'Summit Entertainment (International)'],$20–22 million,20.0,$187.7 million,187.7,8.1,96.0,95.0
19.0,960.0,The Disciple,Drama,"April 30, 2021",129.0,7.2,Marathi,Movie,Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",NA,"September 22, 2021",2021,TV-14,94 min,Thrillers,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",19.0,110.0,9685.0,12 Years a Slave,2014.0,WRITING (Adapted Screenplay),Screenplay by John Ridley,1.0,Steve McQueen,['Twelve Years a Slave'. 'by'. 'Solomon Northup'],"['Chiwetel Ejiofor'. 'Michael Fassbender'. ""Lupita Nyong'o"". 'Benedict Cumberbatch'. 'Paul Dano'. 'Paul Giamatti'. 'Sarah Paulson'. 'Brad Pitt'. 'Alfre Woodard']",['Fox Searchlight Pictures (North America)'. 'Entertainment One Films (United Kingdom and Ireland)'. 'Summit Entertainment (International)'],$20–22 million,20.0,$187.7 million,187.7,8.1,96.0,95.0
20.0,967.0,Get the Grift,Comedy,"April 28, 2021",94.0,5.5,Portuguese,TV Show,Jaguar,NA,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",NA,"September 22, 2021",2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",20.0,783.0,2935.0,20.000 Leagues Under the Sea,1955.0,ART DIRECTION (Color),Art Direction: John Meehan. Set Decoration: Emile Kuri,1.0,Richard Fleischer,['Twenty Thousand Leagues Under the Sea'. 'by'. 'Jules Verne'],['Kirk Douglas'. 'James Mason'. 'Paul Lukas'. 'Peter Lorre'],Buena Vista Distribution,$5 million,5.0,$28.2 million,28.2,7.2,83.0,89.0
21.0,965.0,Things Heard & Seen,Horror,"April 29, 2021",121.0,5.3,English,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,NA,NA,"September 22, 2021",2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",21.0,783.0,2971.0,20.000 Leagues Under the Sea,1955.0,FILM EDITING,Elmo Williams,0.0,Richard Fleischer,['Twenty Thousand Leagues Under the Sea'. 'by'. 'Jules Verne'],['Kirk Douglas'. 'James Mason'. 'Paul Lukas'. 'Peter Lorre'],Buena Vista Distribution,$5 million,5.0,$28.2 million,28.2,7.2,83.0,89.0
22.0,1024.0,Ajeeb Daastaans,Drama,"April 16, 2021",142.0,6.7,Hindi,TV Show,Resurrection: Ertugrul,NA,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",Turkey,"September 22, 2021",2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",22.0,783.0,3013.0,20.000 Leagues Under the Sea,1955.0,SPECIAL EFFECTS,Walt Disney Studios,1.0,Richard Fleischer,['Twenty Thousand Leagues Under the Sea'. 'by'. 'Jules Verne'],['Kirk Douglas'. 'James Mason'. 'Paul Lukas'. 'Peter Lorre'],Buena Vista Distribution,$5 million,5.0,$28.2 million,28.2,7.2,83.0,89.0
23.0,1025.0,Arlo the Alligator Boy,Animated musical comedy,"April 16, 2021",92.0,6.7,English,Movie,Avvai Shanmughi,K.S. Ravikumar,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",NA,"September 21, 2021",1996,TV-PG,161 min,"Comedies, International Movies","Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",23.0,281.0,8166.0,A Beautiful Mind,2002.0,ACTOR IN A LEADING ROLE,Russell Crowe,0.0,Ron Howard,['A Beautiful Mind'. 'by'. 'Sylvia Nasar'],['Russell Crowe'. 'Ed Harris'. 'Jennifer Connelly'. 'Paul Bettany'. 'Adam Goldberg'. 'Judd Hirsch'. 'Josh Lucas'. 'Anthony Rapp'. 'Christopher Plummer'],['Universal Pictures'. 'DreamWorks Pictures'],$58 million,58.0,$316.8 million,316.8,8.2,72.0,74.0
24.0,1051.0,Ride or Die,Psychological thriller drama,"April 15, 2021",142.0,5.5,Japanese,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",NA,"September 21, 2021",2021,TV-Y,61 min,Children & Family Movies,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",24.0,281.0,8181.0,A Beautiful Mind,2002.0,ACTRESS IN A SUPPORTING ROLE,Jennifer Connelly,1.0,Ron Howard,['A Beautiful Mind'. 'by'. 'Sylvia Nasar'],['Russell Crowe'. 'Ed Harris'. 'Jennifer Connelly'. 'Paul Bettany'. 'Adam Goldberg'. 'Judd Hirsch'. 'Josh Lucas'. 'Anthony Rapp'. 'Christopher Plummer'],['Universal Pictures'. 'DreamWorks Pictures'],$58 million,58.0,$316.8 million,316.8,8.2,72.0,74.0
25.0,1086.0,Night in Paradise,Drama,"April 9, 2021",132.0,6.7,Korean,Movie,Jeans,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",India,"September 21, 2021",1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",25.0,281.0,8204.0,A Beautiful Mind,2002.0,DIRECTING,Ron Howard,1.0,Ron Howard,['A Beautiful Mind'. 'by'. 'Sylvia Nasar'],['Russell Crowe'. 'Ed Harris'. 'Jennifer Connelly'. 'Paul Bettany'. 'Adam Goldberg'. 'Judd Hirsch'. 'Josh Lucas'. 'Anthony Rapp'. 'Christopher Plummer'],['Universal Pictures'. 'DreamWorks Pictures'],$58 million,58.0,$316.8 million,316.8,8.2,72.0,74.0
26.0,1089.0,Thunder Force,Superhero-Comedy,"April 9, 2021",105.0,4.4,English,TV Show,Love on the Spectrum,NA,Brooke Satchwell,Australia,"September 21, 2021",2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV","Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",26.0,281.0,8217.0,A Beautiful Mind,2002.0,FILM EDITING,Mike Hill. Dan Hanley,0.0,Ron Howard,['A Beautiful Mind'. 'by'. 'Sylvia Nasar'],['Russell Crowe'. 'Ed Harris'. 'Jennifer Connelly'. 'Paul Bettany'. 'Adam Goldberg'. 'Judd Hirsch'. 'Josh Lucas'. 'Anthony Rapp'. 'Christopher Plummer'],['Universal Pictures'. 'DreamWorks Pictures'],$58 million,58.0,$316.8 million,316.8,8.2,72.0,74.0
27.0,1106.0,Concrete Cowboy,Drama,"April 2, 2021",111.0,6.3,English,Movie,Minsara Kanavu,Rajiv Menon,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",NA,"September 21, 2021",1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,27.0,281.0,8227.0,A Beautiful Mind,2002.0,MAKEUP,Greg Cannom. Colleen Callaghan,0.0,Ron Howard,['A Beautiful Mind'. 'by'. 'Sylvia Nasar'],['Russell Crowe'. 'Ed Harris'. 'Jennifer Connelly'. 'Paul Bettany'. 'Adam Goldberg'. 'Judd Hirsch'. 'Josh Lucas'. 'Anthony Rapp'. 'Christopher Plummer'],['Universal Pictures'. 'DreamWorks Pictures'],$58 million,58.0,$316.8 million,316.8,8.2,72.0,74.0
